"","x"
"1","Austria"
"2","Belgium"
"3","Czech rep."
"4","Denmark"
"5","Finland"
"6","France"
"7","Germany"
"8","Hungary"
"9","Ireland"
"10","Italy"
"11","Netherlands"
"12","Norway"
"13","Poland"
"14","Portugal"
"15","Slovakia"
"16","Spain"
"17","Sweden"
"18","UK"
"19","Switzerland"
"20","Greece"
"21","Turkey"
"22","Lebanon"
"23","Israel"
"24","Syria"
"25","Iraq"
"26","Egypt"
"27","Lybia"
"28","Tunesia"
"29","Algeria"
"30","Morocco"
"31","Yugoslavia"
"32","Albania"
"33","Bulgaria"
"34","Rumenia"
"35","Yemen"
"36","Saudi Arabia"
"37","Oman"
"38","Cyprus"
"39","Luxemburg"
"40","Malta"
